name,method,rank,dockq_native,fnat_native,plddt,iptm,plddt_CA,A_plddt_CA,B_plddt_CA,ptm,A_ptm,B_ptm,A_iptm,B_iptm,conserved_dockq,conserved_fnat,ppi_num,conserved_ppi_num,saltbridge_num,hbond_num,pication_num,pistack_num,halogen_bond_num,md_rmsd,md_rmsf,md_rmsf_top1,md_rmsf_top3,md_rmsf_top5,md_contact,md_contact_top1,md_contact_top3,md_contact_top5,len_peptide,dssp_H,dssp_E,dssp_C,concact_ratio,predicted_fnat_native
1jd5,chai1_with_msa,4,0.961124,0.945946,98.031136,0.936074,98.673982,98.748857,97.69125,0.9788625836372375,0.9777125716209412,0.2449122965335846,0.2644644677639007,0.9360737800598145,0.960314,0.934885,8,8,0,7,1,0,0,1.776165,0.7058483,0.50167,0.5289729,0.5435314,6.318625,9.214,8.601,7.8824,8,0,0,8,1.0,0.9586104
1jwg,chai1_with_msa,0,0.947383,0.95,97.231199,0.823749,98.319931,98.366857,97.006,0.9794843196868896,0.979960024356842,0.2278322130441665,0.1914769113063812,0.8237491250038147,0.99562,1.0,2,2,0,2,0,0,0,2.960474,1.7355503,0.812095,1.1731008,1.7355503,6.1562,8.601,7.742667,6.1562,5,0,0,5,1.0,0.9372256
1jwg,chai1_with_msa,1,0.941323,0.95,97.269598,0.829725,98.346966,98.379857,97.426,0.9794684648513794,0.9799081087112428,0.2288497984409332,0.1922336518764495,0.8297251462936401,0.991199,0.98913,3,2,0,3,0,0,0,2.423106,1.3025082,0.590447,0.69375247,1.3025081,5.8302,8.822,7.67,5.8302,5,0,0,5,1.0,0.9505483
1jwg,chai1_with_msa,2,0.943021,0.95,97.222406,0.823453,98.314069,98.361,97.0,0.97950279712677,0.9800983667373656,0.2263458967208862,0.19003427028656,0.8234529495239258,0.991956,0.98913,3,3,0,3,0,0,0,2.931582,1.1979969,0.598674,0.7476611,1.1979967,5.9144,8.667,7.705667,5.9144,5,0,0,5,1.0,0.95625544
1jwg,chai1_with_msa,3,0.940972,0.95,97.265865,0.830193,98.345793,98.375643,97.51,0.979588747024536,0.9800992012023926,0.2311873584985733,0.190512329339981,0.830193042755127,0.991975,0.98913,3,3,0,3,0,0,0,2.758201,1.5395851,0.881984,1.1981238,1.5395851,5.9428,8.826,7.797667,5.9428,5,0,0,5,1.0,0.94917554
1jwg,chai1_with_msa,4,0.947997,0.95,97.27786,0.829203,98.349793,98.380643,97.486,0.9795668125152588,0.9800689816474916,0.2312522381544113,0.1910477578639984,0.8292030692100525,0.992104,0.98913,3,3,0,3,0,0,0,2.350046,1.6976353,0.979902,1.2715087,1.697635,5.9764,8.604,7.742667,5.9764,5,0,0,5,1.0,0.9479922
1mfg,chai1_with_msa,0,0.982635,1.0,94.584181,0.912475,97.067596,97.689579,90.502222,0.9657846689224244,0.965398132801056,0.1683384478092193,0.1682906597852707,0.9124746322631836,0.982479,0.970996,7,6,0,7,0,0,0,2.154769,1.3489062,0.488029,0.705709,0.955608,5.252111,10.97,8.417,7.2792,9,0,0,9,0.888889,0.9641054
1mfg,chai1_with_msa,1,0.971344,0.970588,94.595982,0.91311,97.082692,97.717053,90.386667,0.9657212495803832,0.9655189514160156,0.1684172749519348,0.1669877916574478,0.9131100177764891,0.986397,0.978535,6,6,0,6,0,0,0,2.441687,1.3381788,0.537755,0.75520754,0.9538242,5.468556,10.943,8.373667,7.3166,9,0,0,9,0.888889,0.95696115
1mfg,chai1_with_msa,2,0.973312,0.970588,94.59398,0.911265,97.078558,97.698211,90.537778,0.9657888412475586,0.9654242396354676,0.1685811579227447,0.1686263233423233,0.9112646579742432,0.984875,0.978535,5,5,0,5,0,0,0,2.303607,1.4473276,0.591998,0.8331289,1.0697933,5.317778,11.183,8.617333,7.5494,9,0,0,9,0.888889,0.9564458
1mfg,chai1_with_msa,3,0.953871,0.911765,94.597683,0.912932,97.085192,97.716,90.426667,0.9657764434814452,0.965514361858368,0.1752799153327942,0.1678444296121597,0.91293203830719,0.958782,0.907937,7,7,0,7,0,0,0,2.202722,1.3496133,0.531609,0.76351595,0.9730805,5.093667,10.913,8.397667,7.143,9,0,0,9,0.888889,0.92541087
1mfg,chai1_with_msa,4,0.970647,0.970588,94.609685,0.913274,97.099038,97.709053,90.66,0.965977907180786,0.9656895399093628,0.1750742197036743,0.1669151037931442,0.9132739901542664,0.982166,0.978535,7,6,1,6,0,0,0,2.300603,1.2818729,0.489737,0.7067857,0.9154455,5.136444,11.287,8.532,7.352,9,0,0,9,1.0,0.968096
1ntv,chai1_with_msa,0,0.983326,0.978261,96.406817,0.943907,98.177346,98.199539,97.84,0.971047580242157,0.9693065285682678,0.2345799803733825,0.2155721783638,0.9439070224761964,0.988664,0.979898,11,10,0,11,0,0,0,2.379387,1.2959647,0.751452,0.8136673,0.8931941,6.5385,11.104,9.902667,9.2616,10,0,0,10,1.0,0.94536984
1ntv,chai1_with_msa,1,0.986745,1.0,96.400349,0.943158,98.177346,98.200395,97.827,0.9708378314971924,0.9692686200141908,0.2340071201324463,0.2167295962572097,0.9431580901145936,0.98651,0.979898,12,12,0,12,0,0,0,1.811015,1.4352515,0.775324,0.85463613,0.95934504,6.7941,11.384,10.162,9.4098,10,0,0,10,1.0,0.95083106
